Key,Alert Category,Date of Response,Time of Response,Date of Crime,Time of Crime,Crime Category,Location of Crime,Suspect Description,Suspect in Custody,Update,Link
80,Community Alert Bulletin,6/7/2023,,6/7/2023,12:09 AM,Suspicious Activity,Central Campus Trolley Station toward Library Walk,Yes,Yes,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-6-7-3.html
81,Community Alert Bulletin,6/7/2023,,6/7/2023,12:21 AM,Suspicious Activity,Sun God Lawn,Yes,Yes,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-6-7-3.html
82,Community Alert Bulletin,6/7/2023,,6/7/2023,3:02 AM,Suspicious Activity,Pangea Parking Structure,Yes,Yes,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-6-7-3.html
83,Community Alert Bulletin,6/7/2023,,6/7/2023,3:07 AM,Suspicious Activity,Thurgood Marshall Apartments and Oceanview Terrace,Yes,Yes,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-6-7-3.html
84,Timely Warning,6/7/2023,4:51 AM,,,Arson,MTS Bus stop located at Villa La Jolla Drive and the entrance to the VA Hospital,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-6-7-1.html
85,Timely Warning,7/3/2023,,7/1/2023,,Burglary,"a conference room inside of the North Torrey Pines Living and Learning – Mosaic building, 9605 Scholars Drive North",No,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-7-3-4.html
86,Timely Warning,7/3/2023,,7/1/2023,,Burglary,"the classrooms at the UC San Diego Extended Studies and Public Program Building, 9710 Scholars Drive North.",No,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-7-3-4.html
87,Timely Warning,7/4/2023,11:38 PM,7/4/2023,11:33 PM,Attempted Burglary,3867 Miramar Street – Mesa Nueva Artesa,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-7-5-1.html
88,Timely Warning,7/5/2023,10:46 AM,7/4/2023,10:30 AM,Burglary,the Triton Clubhouse at the baseball field at 3685 Voigt Drive,No,No,92,https://adminrecords.ucsd.edu/Notices/2023/2023-7-5-3.html
89,Timely Warning,7/7/2023,,7/4/2023,11:33 PM,Attempted Burglary,3867 Miramar Street – Mesa Nueva Artesa,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-7-7-1.html
90,Timely Warning,7/8/2023,6:03 AM,7/7/2023,10:30 PM,Burglary,Cafe Ventanas,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-7-8-1.html
91,Timely Warning,7/10/2023,,7/4/2023,11:33 PM,Attempted Burglary,the Triton Clubhouse at the baseball field at 3685 Voigt Drive,Yes,Yes,89,https://adminrecords.ucsd.edu/Notices/2023/2023-7-12-1.html
92,Community Alert Bulletin,7/13/2023,,,,Unlawful Entry in Residential Areas,residential spaces around campus,Yes,Yes,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-7-13-1.html
93,Timely Warning,7/20/2023,1:36 PM,7/18/2023,9:00 p.m.,Burglary,Preuss School,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-7-20-2.html
94,Community Alert Bulletin,7/22/2023,12:27 PM,,,Trespassing in an Occupied Residence,Matthews Apartment E building,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-7-22-1.html
95,Timely Warning,8/16/2023,6:58 AM,,,Office Building Burglaries,the School of Medicine and Chancellor’s Complex,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-8-16-1.html
96,Timely Warning,8/17/2023,9:06 PM,8/17/2023,8:15 PM,Burglary,Mesa Nueva,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-8-17-2.html
97,Timely Warning,8/17/2023,6:28 PM,,,Burglary,Pepper Canyon Apartments,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-8-17-1.html
